pdb,protein_A,protein_B,ligand_C,official_class,family,recommended_first_chain,status,rationale,source_url,source_input,source_sha256,annotation_cif_sha256
8D7Z,Protein cereblon,DNA-binding protein Ikaros,QFC,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8D7Z.json,3f7e02ea0a182576ccbba70c504e80be04efec1e19b86ba8965911a408b7cfe4,c9c3169742c51bf1158f8a5dd0c7fc04dd8d0692221c82c3a44d65d6525463ce
8EWV,von Hippel-Lindau disease tumor suppressor,Bromodomain-containing protein 4,X5K,heterodimerization-degrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8EWV.json,ef9354a4e4746b08ed119d62447010a1197ad39b03a335449b6fac5030d6b146,45d3518fe2d22765dfb7cdf9fc55b0b7dc0842071f3463235fb0bc64d2d821d1
8G66,Protein cereblon,Casein kinase I isoform alpha,YOT,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8G66.json,97aaf89cec55cdc789aa797e01f579c15c728678065d8693f4ab407f48c84401,6f4094970adb6478e5d7abaf0289025d61446f3d713d685d9529ccc0b87cf239
8JYC,Butyrophilin subfamily 2 member A1,Butyrophilin subfamily 3 member A1,DMA,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8JYC.json,e8de6984f5f757819828808286362eff5a22cd510dc954171b603e5286df2611,f3a74a487f61f181a89f5c8a4ad9759469321584937e568fa88a69ddb1af1439
8JYE,Butyrophilin subfamily 2 member A1,Butyrophilin subfamily 3 member A1,H6P,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8JYE.json,f36bf93c9bb31e13ecdab8e690ec5251c195c191fde0d507ff844fa843fd0db8,07b095e40146b197f575200ce8ef2f86198ad3c5bf88c9bc05b0bbd895554713
8OV6,DDB1- and CUL4-associated factor 16,Bromodomain-containing protein 4,U79,heterodimerization-degrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8OV6.json,5a3cd828065c5c1cbeea5f634dc337138bfff17c7fec79dfaefb6bc2d3ca3727,a7dabbdf56c4f3da325605fd735069bbd4e520f31315c60d494e55fc1810853b
8PPZ,Peptidyl-prolyl cis-trans isomerase FKBP1A,Serine/threonine-protein kinase mTOR,0AN,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8PPZ.json,08180c78fcade6615b8854c6fbcffb8df68ff7540c27206305b973aa1e16ec50,e210041babbb5414f2c8643811e24a35d8601a04d775c594f6dd3ecbafedde92
8TBF,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBF.json,450bb6278247c0fcfba7853430ccd0c4c73db64718307444a4c7596c53aa54ce,6518bf92b997004704b7aa46950baffd4e1f25c6ae78e937bcc623cf80936e94
8TBG,GTPase HRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBG.json,60201f686e42ac563f3a34b6a46f738b5d8be10692ae1c7afd91c08ed56a1aa0,614aabb7c62c73a77aaa8dae689d2382b43edc3489792c001202c41e025a3e7c
8TBH,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBH.json,0f4926b1d1453588cc18576e8537e099fe97e7aeb9f24ccb66a4f52f05bdea3f,f3ffa1a250c04b9d339f425a4fa8aa5cddc3d7b24230c48ff5b8e7edd4c72483
8TBI,GTPase NRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBI.json,f8e2700533a4d4cff11c959f41346fba9a8fa37fb19e093f77e89a6cca33439d,762af9d07a19400507b7f303e268660b1e83f0e9153aceca9dad22e5180ceca6
8TBJ,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBJ.json,7d7c5489157cf431b25f0f901b935719f793c23e6de2b2cbc6447b7587cd233f,10f15e9cb1c3063b1da31b60c55e7e2256902d4fd908456062e049cfec16ca33
8TBK,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBK.json,a8c751a9884303bcbf0e70e9413953af67f2c69dfc113132ef43cfe5d3ba8540,bca55d7f3e71e2daa03adbf9a1576a6c560d0888413703b51abe98d817eb52ed
8TBL,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBL.json,9ef33968049bc20310983b7d40ddfc594f1af42e3f96bb3c727117e6829f3fb0,a24f43031303f404705ccd4a20c86eb92a2426b78dfac36ea5d3a126fa0575a9
8TBM,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBM.json,96ee828469697517f3a6ede84a699f5d4713ca3e9434dba76e1e465c14fe8ad0,dd133a4e7aa1f6cc6a79d1d198e28c7f783086ca309d40de50165344c256ca23
8TBN,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TBN.json,454eccedde956be85667a393f7f4cbff81efca0e08f92ecfea7065a8075b5605,e16313a144ca6783fe351edb9debfbf12ca590a9cc3c25a9a04ad21a5bed6fc2
8TNP,"Maltose/maltodextrin-binding periplasmic protein,SD40",Protein cereblon,Y70,heterodimerization-degrader,CRBN,B,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TNP.json,da051ec47721794aaeed10751c59bd3c2f9ddf165601b809dd654d368d2b5ff4,94e7f2517a0cd7e2635d8cee056dcc88bc15fa08ea3a4305ec52fadb9bda6c01
8TNQ,Protein cereblon,"Maltose/maltodextrin-binding periplasmic protein,SD40",MIQ,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TNQ.json,05b5fb791d40019734b15bc9a89618b24c1fa1747d39b0b83e6291c12b4945e6,b5c4286fcf6bedbea5be5121193b91703301b4c6a21d38f134f9a287080ceaa6
8TNR,Protein cereblon,"Maltose/maltodextrin-binding periplasmic protein,SD40",MIQ,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TNR.json,cac59a26cb749527b4f1c1e5f72c2a00c3432fbda1e0ffdd733feccf9fbf9aa3,cc18035b712cfb1cfd658ef7a51f7121ce806932e3ed0f3098acb2f48d672a9a
8TZX,Protein cereblon,Protein Wiz,U3I,heterodimerization-degrader,CRBN,A,anchor_hypothesis,"CRBN pocket; family-level anchor hypothesis, not measured kinetic order",https://www.nature.com/articles/nature13527,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8TZX.json,39f0dc92303c555e5727709aa700e688cd5b3f0abd4ffcd428668c716bc48a7a,f03a37f793218395fd9b7564a552bfc8606802bc2cc7152a2ad84eab54380873
8VL9,von Hippel-Lindau disease tumor suppressor,Cysteine dioxygenase type 1,A1ACI,heterodimerization-degrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8VL9.json,a4010e5f05ace2425d5c790f7a28c3849e832910d7d6816ee7af70dba1a8b2f7,b76c16f4967a4e3632e3734a7493350d6df16afe0dd8d7b8ec3e8224bd81d2ce
8VLB,von Hippel-Lindau disease tumor suppressor,Cysteine dioxygenase type 1,3JF,heterodimerization-degrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8VLB.json,25b4b5c5b67074c699b6c45e0c2739468378efdc7c04f272b52e252aea7e078f,732981c91787d21b812e14b5fe74ed1d0aba06d9bd16d3c797adf0e06e0eab7c
8VOJ,Isoform 2 of Kelch repeat and BTB domain-containing protein 4,Histone deacetylase 1,A1ACV,heterodimerization-degrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8VOJ.json,985c79dd3a4575c2b1fb750bd583595dde8079cc41e5e6473ac509e3a48de2af,0c9800341e7452db37bf3fce94c4105eb601a753a4078287db0000aa949ec84f
8W31,E3 ubiquitin-protein ligase parkin,Ubiquitin,A1AE9,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/8W31.json,4bc091e56911cadcfd0807baaf8c616f83a15aba69e8a98f15b183a8f06b644c,3ada137d3aa554e71c1873b0dce9c9f37f2e0b2e3d89c48b9368521e8a23cd80
9AXM,Dual specificity mitogen-activated protein kinase kinase 1,Serine/threonine-protein kinase A-Raf,A1AHE,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9AXM.json,55d56828786ea7106fff8768795dbc6942c3f05322d440da65217afdb26e1e8f,ab19cf42cca34faa14af39c76062858f8ab913c7dd4364054c94865a78ff5106
9AXX,Dual specificity mitogen-activated protein kinase kinase 1,Serine/threonine-protein kinase B-raf,A1AHE,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9AXX.json,31d79b90dcb4a3017f7bffff1af87aa2636b32d34a508974b3309bb01988f887,2e8a502ef49173a7f2d02bab151186698d83efedce8f2ecf6b7192117eab10c1
9AYA,RAF proto-oncogene serine/threonine-protein kinase,Dual specificity mitogen-activated protein kinase kinase 1,A1AHE,heterodimerization-nondegrader,other,,unassigned,No unique first protein assigned; test both orders as algorithmic controls,,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9AYA.json,17f921a0aa0ad93598da479a1344475392b568757a84c075c0c1203e555ce439,62afb3e88c8b625691364b6a798584da5d36af99e2795be4c64cb0d200138721
9BGH,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BGH.json,941f8ab297144ff4e5c8ca43dccd45c1db2cfc509914f04b2e958d168ceff95f,3b62d665539ffb382297d1c3e4ac81f4666b1f6925e019ee4862d186078a6813
9BHO,Isoform 2B of GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BHO.json,00d8d95a7995bee6ea37df5f4be91371f60c4225a26d59fd78e612bdef31eedc,6e9bcf6a1b5ebdf5e5b4391fd8f9320a0f6e1c8cac8d3554e3388e8e69e7bddf
9BHP,Isoform 2B of GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BHP.json,593cd84ffc51cc035d34d01e69773bc89eb995e27bdea1091bfbaa17e7c24fe1,68c0eaabb80af9f566b4a44a7d3ec727ff0d027faaace1d7f160742670fe80fd
9BHQ,Isoform 2B of GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BHQ.json,cc6e1b559f0d1abf646955c5efb8f8507fb180c0e9b41e3474d803473e529eaa,4051c5cae3bdcd5c9084b7a5cc6d3a89a23e8d808ad474e6454045893f20f0bd
9BI1,GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BI1.json,3565fcd34e0bdcf0232fd55b262309becc1bfe5eff6f47ee245eaf6cf65dd561,b32743e9be2999aafb096caf4e4f5a51d68c8982333a595e72a010dc41da2b0b
9BI2,Isoform 2B of GTPase KRas,Peptidyl-prolyl cis-trans isomerase A,ZNI,heterodimerization-nondegrader,RAS-CYPA,B,anchor_hypothesis,CYPA binary-complex mechanism; family-level transfer for related compounds,https://www.nature.com/articles/s41586-024-07205-6,/mnt/parallel_storage/wykim_lab/share/kfold_special_benchmarks/MGBench/inputs/KFold/seed1-5_sample5/queries/9BI2.json,b3640930d70804c81696027cd05dee6183cbaec95f6843595d9d112721c5ce14,ffc1c12e44907defff8ff1acac2dcfcf4282f904887d937bf5bf6dee901c84cb
